z_nm,epsilon
3.668341708542713458e-09,5.588712514826185895e+01
3.718592964824120673e-09,5.457615181690499639e+01
3.768844221105527887e-09,5.321058061151338592e+01
3.819095477386934275e-09,5.183424249181400256e+01
3.869346733668341490e-09,5.048082665975942973e+01
3.919597989949748705e-09,4.915127619473952336e+01
3.969849246231155920e-09,4.785654596898118740e+01
4.020100502512562308e-09,4.661117131752011744e+01
4.070351758793969523e-09,4.541949892402539035e+01
4.120603015075376738e-09,4.429119073295630216e+01
4.170854271356783953e-09,4.322797491977284778e+01
4.221105527638191168e-09,4.223045389872089572e+01
4.271356783919597556e-09,4.130098125327580760e+01
4.321608040201004771e-09,4.043489574700586786e+01
4.371859296482411986e-09,3.962289156541775981e+01
4.422110552763819200e-09,3.885116094222510696e+01
4.472361809045226415e-09,3.809858426667813092e+01
4.522613065326632803e-09,3.735116440298944696e+01
4.572864321608040018e-09,3.660446497556741008e+01
4.623115577889447233e-09,3.585522805011598280e+01
4.673366834170854448e-09,3.510091516128319000e+01
4.723618090452260836e-09,3.434060299498063529e+01
4.773869346733668051e-09,3.358076338046738130e+01
4.824120603015075266e-09,3.283024928739839510e+01
4.874371859296482481e-09,3.209582310514044678e+01
4.924623115577889696e-09,3.138195627205148597e+01
4.974874371859296084e-09,3.069180628121133481e+01
5.025125628140703299e-09,3.002457765757666763e+01
5.075376884422110513e-09,2.937726102519101445e+01
5.125628140703517728e-09,2.874698726158151274e+01
5.175879396984924116e-09,2.813103836540276959e+01
5.226130653266331331e-09,2.752682637971971502e+01
5.276381909547738546e-09,2.693246982990210725e+01
5.326633165829145761e-09,2.634550844693287530e+01
5.376884422110552976e-09,2.576335534484265466e+01
5.427135678391959364e-09,2.518436894757598665e+01
5.477386934673366579e-09,2.460801633166692426e+01
5.527638190954773794e-09,2.403634164952145724e+01
5.577889447236181009e-09,2.347572818494794689e+01
5.628140703517588224e-09,2.293298945620955820e+01
5.678391959798994612e-09,2.241459164259157788e+01
5.728643216080401826e-09,2.192477734685976998e+01
5.778894472361809041e-09,2.146511450680840483e+01
5.829145728643216256e-09,2.103787746539686765e+01
5.879396984924622644e-09,2.064396736790616771e+01
5.929648241206029859e-09,2.028300827206858159e+01
5.979899497487437074e-09,1.995371804504357272e+01
6.030150753768844289e-09,1.965420018805535207e+01
6.080402010050251504e-09,1.938183180589205179e+01
6.130653266331657892e-09,1.913214896162444845e+01
6.180904522613065107e-09,1.890076826306910718e+01
6.231155778894472322e-09,1.868401389605219620e+01
6.281407035175879537e-09,1.847925825557140200e+01
6.331658291457285925e-09,1.828477015273770689e+01
6.381909547738693139e-09,1.809909755530673436e+01
6.432160804020100354e-09,1.792097789915583661e+01
6.482412060301507569e-09,1.774928359400938405e+01
6.532663316582914784e-09,1.758297759253399661e+01
6.582914572864321172e-09,1.742108008946065212e+01
6.633165829145728387e-09,1.726285110658324129e+01
6.683417085427135602e-09,1.710785929640735503e+01
6.733668341708542817e-09,1.695559501764611099e+01
6.783919597989949205e-09,1.680545367725143890e+01
6.834170854271356420e-09,1.665675664869673867e+01
6.884422110552763635e-09,1.650879189737139541e+01
6.934673366834170850e-09,1.636135428570840844e+01
6.984924623115578065e-09,1.621478249848662045e+01
7.035175879396984452e-09,1.606943141981865963e+01
7.085427135678391667e-09,1.592564506404715630e+01
7.135678391959798882e-09,1.578375497146309314e+01
7.185929648241206097e-09,1.564407873134887517e+01
7.236180904522612485e-09,1.550691297351258591e+01
7.286432160804019700e-09,1.537238343105205196e+01
7.336683417085426915e-09,1.524044750118575742e+01
7.386934673366834130e-09,1.511107202972901042e+01
7.437185929648241345e-09,1.498424380775833775e+01
7.487437185929647733e-09,1.485997041661047646e+01
7.537688442211055775e-09,1.473828085963268641e+01
7.587939698492462163e-09,1.461922597506296206e+01
7.638190954773868551e-09,1.450287862574615083e+01
7.688442211055276593e-09,1.438933366278836523e+01
7.738693467336682980e-09,1.427870766171716177e+01
7.788944723618091023e-09,1.417113844766375230e+01
7.839195979899497410e-09,1.406688164998766766e+01
7.889447236180903798e-09,1.396649788868833220e+01
7.939698492462311840e-09,1.387052866436160947e+01
