z_m,sigma_Ohm_cm_inv,N_cm3
7.986065589122169e-10,849.7023044700137,8.531502984355686e+19
8.152004944468377e-10,859.3306169359347,8.651296688379698e+19
8.317944299814583e-10,870.8922549596339,8.7956814454112e+19
8.483883655160789e-10,884.4248412949546,8.965489445637974e+19
8.649823010506997e-10,899.955613834771,9.161552879247796e+19
8.815762365853202e-10,917.4986287911854,9.384703936428435e+19
8.981701721199408e-10,937.05135278849,9.635774789942421e+19
9.147641076545616e-10,958.5827493857505,9.91549540533574e+19
9.313580431891822e-10,982.0108863583799,1.022425270663783e+20
9.479519787238027e-10,1007.2199241354604,1.0562361728079451e+20
9.645459142584235e-10,1034.0605083299465,1.0930137503891364e+20
9.811398497930441e-10,1062.3699668491704,1.1327895068304314e+20
9.977337853276647e-10,1092.0322023644003,1.1755949455549062e+20
1.0143277208622855e-09,1122.9450409716446,1.2214615699856371e+20
1.030921656396906e-09,1155.0142473716544,1.2704208835456985e+20
1.0475155919315266e-09,1188.1575642658443,1.3225043896581664e+20
1.0641095274661474e-09,1222.3091936143028,1.3777435917461173e+20
1.080703463000768e-09,1257.4247416226415,1.4361699932326258e+20
1.0972973985353886e-09,1293.4866498612378,1.4978150975407673e+20
1.1138913340700093e-09,1330.503888086347,1.5626993298421993e+20
1.13048526960463e-09,1368.448356053283,1.6307150314352833e+20
1.1470792051392505e-09,1407.1307187705272,1.7016722404155313e+20
1.1636731406738713e-09,1446.1886195206262,1.775379637977688e+20
1.1802670762084918e-09,1485.223626576502,1.8516459053164967e+20
1.1968610117431124e-09,1523.8109375631632,1.9302797236267005e+20
1.213454947277733e-09,1561.5023060459769,2.0110897741030448e+20
1.2300488828123538e-09,1597.829651193274,2.093884737940272e+20
1.2466428183469744e-09,1632.3168508104864,2.1784732963331257e+20
1.263236753881595e-09,1664.6989820908832,2.26466413047635e+20
1.2798306894162157e-09,1694.9830873769656,2.3522659215646894e+20
1.2964246249508363e-09,1723.2329699546947,2.4410884736419103e+20
1.3130185604854569e-09,1749.5646766367472,2.530984211560249e+20
1.3296124960200777e-09,1774.140984965719,2.6218603375302964e+20
1.3462064315546982e-09,1797.1505845504173,2.7136276560143273e+20
1.3628003670893188e-09,1818.8048402857196,2.8061969714746225e+20
1.3793943026239396e-09,1839.3355785267254,2.8994790883734602e+20
1.3959882381585602e-09,1858.9927181545577,2.993384811173116e+20
1.4125821736931807e-09,1878.0417632691438,3.0878249443358684e+20
1.4291761092278015e-09,1896.7159301313654,3.182710292323999e+20
1.445770044762422e-09,1915.0389494578183,3.277949289552017e+20
1.4623639802970427e-09,1932.9538439996647,3.3733541774287707e+20
1.4789579158316635e-09,1950.383910484863,3.468609839957217e+20
1.495551851366284e-09,1967.2571083491093,3.563392403921656e+20
1.5121457869009046e-09,1983.508298406609,3.657377996106395e+20
1.5287397224355252e-09,1999.0797048102656,3.7502427432957385e+20
1.545333657970146e-09,2013.9212910682186,3.841662772273989e+20
1.5619275935047666e-09,2027.991036911514,3.931314209825452e+20
1.5785215290393871e-09,2041.2606690340772,4.018910600643457e+20
1.595115464574008e-09,2053.8281400241194,4.1049949951101646e+20
1.6117094001086285e-09,2065.892193942977,4.190923027478051e+20
1.628303335643249e-09,2077.6257455882087,4.278084365094216e+20
1.6448972711778698e-09,2089.168020343303,4.3678686753057636e+20
1.6614912067124904e-09,2100.620470403069,4.4616656254597936e+20
1.678085142247111e-09,2112.0409669001156,4.560864882903408e+20
1.6946790777817318e-09,2123.435987088243,4.666856114983708e+20
1.7112730133163524e-09,2134.7319743784406,4.7808335811579976e+20
1.727866948850973e-09,2145.5616407061134,4.9013185426044584e+20
1.7444608843855935e-09,2155.447865720783,5.024895790621078e+20
1.7610548199202143e-09,2164.099073602936,5.148106828830657e+20
1.7776487554548349e-09,2171.44045730735,5.2674931608559996e+20
1.7942426909894554e-09,2177.4996482335405,5.379596290319907e+20
1.8108366265240762e-09,2182.3597923550496,5.480957720845186e+20
1.8274305620586968e-09,2186.147361175589,5.568727829202248e+20
1.8440244975933174e-09,2189.10894108144,5.643729100343827e+20
1.8606184331279382e-09,2191.472439146559,5.7081538784774894e+20
1.8772123686625585e-09,2193.4069580100427,5.764196848718294e+20
1.8938063041971795e-09,2195.042543172577,5.814052696181295e+20
1.9104002397318e-09,2196.483312617335,5.859916105981551e+20
1.9269941752664207e-09,2197.815917724101,5.903981763234118e+20
1.9435881108010413e-09,2199.114853860695,5.948444353054051e+20
1.960182046335662e-09,2200.4349003081875,5.995107548849234e+20
1.9767759818702824e-09,2201.780632018858,6.04411266236301e+20
1.9933699174049034e-09,2203.146266531071,6.095159310664633e+20
2.009963852939524e-09,2204.5286530589915,6.147947107336395e+20
2.0265577884741445e-09,2205.92701943857,6.202175665960583e+20
2.043151724008765e-09,2207.342610048431,6.257544600119485e+20
2.0597456595433857e-09,2208.7782309757595,6.313753523395394e+20
2.0763395950780063e-09,2210.2377209378083,6.3705020493706e+20
2.0929335306126273e-09,2211.7253683224367,6.427489791627385e+20
2.109527466147248e-09,2213.2452960757823,6.484416363748044e+20
2.1261214016818684e-09,2214.800837041864,6.540981379314865e+20
2.142715337216489e-09,2216.393694874817,6.59687661052485e+20
2.1593092727511096e-09,2218.021231283565,6.651717137400179e+20
2.17590320828573e-09,2219.6758116923356,6.705074662263201e+20
2.1924971438203507e-09,2221.340366652243,6.756520395026513e+20
2.2090910793549717e-09,2222.99222215262,6.805625545602717e+20
2.2256850148895923e-09,2224.6070075905786,6.851961323904409e+20
2.242278950424213e-09,2226.1589907926905,6.895098939844192e+20
2.2588728859588334e-09,2227.6214115496778,6.93460960333466e+20
2.275466821493454e-09,2228.9668508675645,6.970064524288418e+20
2.2920607570280746e-09,2230.167635852198,7.001034912618061e+20
2.3086546925626956e-09,2231.197217390936,7.027115512519945e+20
2.325248628097316e-09,2232.045278829026,7.048286016103188e+20
2.3418425636319367e-09,2232.7160819517594,7.064840178025428e+20
2.3584364991665573e-09,2233.216414967269,7.077080925828476e+20
2.375030434701178e-09,2233.5548817775193,7.085311187054129e+20
2.3916243702357985e-09,2233.7415808257206,7.0898338892442e+20
2.408218305770419e-09,2233.7878122271118,7.090951959940487e+20
2.42481224130504e-09,2233.7058114017477,7.088968326684795e+20
2.4414061768396606e-09,2233.5085077488447,7.084185917018935e+20
2.458000112374281e-09,2233.209307197,7.076907658484709e+20
2.4745940479089018e-09,2232.8218977330725,7.067436478623916e+20
2.4911879834435223e-09,2232.360077254852,7.056075304978368e+20
2.507781918978143e-09,2231.8376033086242,7.043127065089866e+20
2.524375854512764e-09,2231.268064462665,7.028894686500215e+20
2.5409697900473845e-09,2230.664773231234,7.01368109675122e+20
2.557563725582005e-09,2230.0364374137357,6.997680628619312e+20
2.5741576611166256e-09,2229.3710716296882,6.980558718843459e+20
2.5907515966512462e-09,2228.6512012163375,6.961820024629624e+20
2.6073455321858668e-09,2227.8604415249315,6.940969165858586e+20
2.6239394677204878e-09,2226.9837379866844,6.917510762411134e+20
2.6405334032551084e-09,2226.0076704239127,6.890949434168044e+20
2.657127338789729e-09,2224.920825294414,6.860789801010104e+20
2.6737212743243495e-09,2223.714238687658,6.826536482818093e+20
2.69031520985897e-09,2222.381913609748,6.7876940994728e+20
2.7069091453935907e-09,2220.921415927067,6.743767270855e+20
2.7235030809282112e-09,2219.339853133208,6.694429262860238e+20
2.7400970164628322e-09,2217.6859753049584,6.640612466553926e+20
2.756690951997453e-09,2216.016023404792,6.583818634993052e+20
2.7732848875320734e-09,2214.3713945565005,6.525552316219688e+20
2.789878823066694e-09,2212.78451060027,6.467318058275904e+20
