As profile,
X,Y
0.018691588785046953,0.025316455696202667
0.16822429906542036,0.6075949367088622
0.33644859813084116,0.9873417721518987
0.5794392523364484,0.8860759493670898
0.8971962616822431,0.9620253164556978
1.102803738317757,1.5189873417721529
1.2897196261682242,2.4050632911392427
1.439252336448598,3.2405063291139253
1.570093457943925,3.974683544303799
1.7009345794392527,4.708860759493673
1.8130841121495327,5.493670886075952
1.9439252336448596,5.949367088607597
2.1308411214953273,6.556962025316459
2.299065420560748,7.012658227848104
2.542056074766355,7.012658227848104
2.710280373831775,6.734177215189876
2.8411214953271027,6.303797468354433
2.9906542056074756,6.000000000000003
3.1775700934579434,5.417721518987344
3.401869158878504,4.708860759493673
3.644859813084112,3.9240506329113938
3.8691588785046727,3.2405063291139253
4.093457943925234,2.607594936708862
4.4485981308411215,1.9746835443037973
4.803738317757009,1.5189873417721529
5.214953271028037,1.0886075949367093
5.663551401869158,0.7088607594936711
6.205607476635514,0.45569620253164445
6.859813084112147,0.3037974683544302
7.607476635514018,0.1772151898734169
8.299065420560746,0.10126582278481067
